"id","asset_id","local_path","issue_type","severity","contexts","actual","required","status","owner","evidence"
"at-parque-nacional-islas-de-santa-fe-hero:hero_resolution:media/argentina-travel/parque-nacional-islas-de-santa-fe/1624388804931-caminatas_y_corrida__1_.jpg","at-parque-nacional-islas-de-santa-fe-hero","media/argentina-travel/parque-nacional-islas-de-santa-fe/1624388804931-caminatas_y_corrida__1_.jpg","hero_resolution","medium","kb:parque-nacional-islas-de-santa-fe:hero","Hero 960×720: ширина меньше 1200 px.","hero resolution gate","blocked_or_review_required","Media editor","var/ops/media-rights-readiness.json"
"at-parque-nacional-san-guillermo-hero:hero_resolution:media/argentina-travel/parque-nacional-san-guillermo/1623885866823-san_guillermo_3.jpg","at-parque-nacional-san-guillermo-hero","media/argentina-travel/parque-nacional-san-guillermo/1623885866823-san_guillermo_3.jpg","hero_resolution","medium","kb:parque-nacional-san-guillermo:hero","Hero 1000×667: ширина меньше 1200 px.","hero resolution gate","blocked_or_review_required","Media editor","var/ops/media-rights-readiness.json"
"at-villa-la-angostura-hero:hero_resolution:media/argentina-travel/villa-la-angostura/1628523006228-vla_bahiabrava_mavikiipro_2_.jpg","at-villa-la-angostura-hero","media/argentina-travel/villa-la-angostura/1628523006228-vla_bahiabrava_mavikiipro_2_.jpg","hero_resolution","medium","kb:villa-la-angostura:hero;place:villa-la-angostura:gallery","Hero 1000×666: ширина меньше 1200 px.","hero resolution gate","blocked_or_review_required","Media editor","var/ops/media-rights-readiness.json"
"blog-wildlife-с-гидом:hero_resolution:media/places/valdes-peninsula/hero.jpg","blog-wildlife-с-гидом","media/places/valdes-peninsula/hero.jpg","hero_resolution","medium","blog:patagonia-с-ребёнком:card;blog:patagonia-с-ребёнком:hero;literal:src/data/blog-category-meta.ts;literal:src/lib/blog-post-image-bindings.ts;place:valdes-peninsula:cover;place:valdes-peninsula:gallery","Hero 683×1024: ширина меньше 1200 px.","hero resolution gate","blocked_or_review_required","Media editor","var/ops/media-rights-readiness.json"
"dest-bariloche-cover:hero_resolution:media/destinations/bariloche/cover.jpg","dest-bariloche-cover","media/destinations/bariloche/cover.jpg","hero_resolution","medium","destination:bariloche:gallery;page:destination:bariloche:hero","Hero 1190×803: ширина меньше 1200 px.","hero resolution gate","blocked_or_review_required","Media editor","var/ops/media-rights-readiness.json"
"place-bariloche-hero:hero_resolution:media/places/bariloche/hero.jpg","place-bariloche-hero","media/places/bariloche/hero.jpg","hero_resolution","medium","blog:patagonia-фото:card;blog:patagonia-фото:hero;literal:src/lib/blog-post-image-bindings.ts;place:bariloche:cover;place:bariloche:gallery;social:post-iv-bariloche-1","Hero 1190×803: ширина меньше 1200 px.","hero resolution gate","blocked_or_review_required","Media editor","var/ops/media-rights-readiness.json"
"place-cueva-de-las-manos-hero:hero_resolution:media/places/cueva-de-las-manos/hero.jpg","place-cueva-de-las-manos-hero","media/places/cueva-de-las-manos/hero.jpg","hero_resolution","medium","place:cueva-de-las-manos:cover;place:cueva-de-las-manos:gallery;place:patagonia-park:cover","Hero 800×600: ширина меньше 1200 px.","hero resolution gate","blocked_or_review_required","Media editor","var/ops/media-rights-readiness.json"
"place-purmamarca-gallery-1:hero_resolution:media/places/purmamarca/gallery-1.jpg","place-purmamarca-gallery-1","media/places/purmamarca/gallery-1.jpg","hero_resolution","medium","place:purmamarca:cover;place:purmamarca:gallery","Hero 800×600: ширина меньше 1200 px.","hero resolution gate","blocked_or_review_required","Media editor","var/ops/media-rights-readiness.json"
"place-tren-de-las-nubes-hero:hero_resolution:media/places/tren-de-las-nubes/hero.jpg","place-tren-de-las-nubes-hero","media/places/tren-de-las-nubes/hero.jpg","hero_resolution","medium","place:tren-de-las-nubes:cover;place:tren-de-las-nubes:gallery","Hero 1000×666: ширина меньше 1200 px.","hero resolution gate","blocked_or_review_required","Media editor","var/ops/media-rights-readiness.json"
"tour-bariloche-lakes-hero:hero_resolution:media/tours/bariloche-lakes/hero.jpg","tour-bariloche-lakes-hero","media/tours/bariloche-lakes/hero.jpg","hero_resolution","medium","gallery:bariloche-lakes-4;literal:src/lib/tour-card-fallback-image.ts;tour:bariloche-lakes:gallery;tour:bariloche-lakes:hero","Hero 1190×803: ширина меньше 1200 px.","hero resolution gate","blocked_or_review_required","Media editor","var/ops/media-rights-readiness.json"
