"id","url","action","priority","owner","status","reason","evidence"
"aconcagua-provincial-park","/baza-znaniy/aconcagua-provincial-park","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"aep-eze-stykovka","/baza-znaniy/aep-eze-stykovka","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"aeroporty","/baza-znaniy/aeroporty","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"aktualen-li-blue-dollar","/baza-znaniy/aktualen-li-blue-dollar","LEGAL_REVIEW","P0","Fact checker + legal reviewer","backlog","missing_sensitive_source;thin_content;sensitive_provenance_not_ready","content.json + publication-quality.ts"
"alero-charcamata","/baza-znaniy/alero-charcamata","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"alersesy-skrytye-ozyora","/baza-znaniy/alersesy-skrytye-ozyora","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"almacenes-de-ramos-generales-en-la-pampa","/baza-znaniy/almacenes-de-ramos-generales-en-la-pampa","HUMAN_REVIEW","P1","Russian content editor","backlog","machine_translation_marker","content.json + publication-quality.ts"
"alumine","/baza-znaniy/alumine","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","/baza-znaniy/amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","HUMAN_REVIEW","P0","Fact checker + legal reviewer","backlog","not_publication_ready;non_russian_title;non_russian_summary;sensitive_provenance_not_ready","content.json + publication-quality.ts"
"andinismo-y-montanismo-en-neuquen","/baza-znaniy/andinismo-y-montanismo-en-neuquen","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"angastaco","/baza-znaniy/angastaco","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"antofagasta-de-la-sierra","/baza-znaniy/antofagasta-de-la-sierra","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"apostil-i-perevod-dokumentov","/baza-znaniy/apostil-i-perevod-dokumentov","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"area-natural-protegida-rio-limay","/baza-znaniy/area-natural-protegida-rio-limay","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"arenda-avto-i-vozhdenie","/baza-znaniy/arenda-avto-i-vozhdenie","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"argentina-10-dney","/baza-znaniy/argentina-10-dney","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"argentina-2-nedeli","/baza-znaniy/argentina-2-nedeli","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"argentina-3-nedeli","/baza-znaniy/argentina-3-nedeli","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"argentina-vs-drugie-strany","/baza-znaniy/argentina-vs-drugie-strany","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"arte-urbano-en-buenos-aires","/baza-znaniy/arte-urbano-en-buenos-aires","HUMAN_REVIEW","P1","Russian content editor","backlog","machine_translation_marker","content.json + publication-quality.ts"
"artesania-formosena","/baza-znaniy/artesania-formosena","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"asado","/baza-znaniy/asado","KEEP","P2","Content editor","complete","publication_gate_clean","content.json + publication-quality.ts"
"astroturismo-en-san-juan","/baza-znaniy/astroturismo-en-san-juan","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"autodromo-internacional-de-rio-hondo","/baza-znaniy/autodromo-internacional-de-rio-hondo","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"avellaneda","/baza-znaniy/avellaneda","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"aventura-en-la-patagonia-andina","/baza-znaniy/aventura-en-la-patagonia-andina","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_summary","content.json + publication-quality.ts"
"aventura-submarina-en-puerto-madryn","/baza-znaniy/aventura-submarina-en-puerto-madryn","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary","content.json + publication-quality.ts"
"aves-del-chaco","/baza-znaniy/aves-del-chaco","DEEP_REWRITE","P1","Content editor","backlog","not_publication_ready;non_russian_title;non_russian_summary;placeholder_content","content.json + publication-quality.ts"
