"asset_id","local_path","source_kind","author_recorded","source_url_recorded","license_recorded","legal_verification","status","owner","evidence"
"place-buenos-aires-hero","media/places/buenos-aires/hero.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-buenos-aires-gallery-1","media/places/buenos-aires/gallery-1.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-buenos-aires-gallery-2","media/places/buenos-aires/gallery-2.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-buenos-aires-gallery-3","media/places/buenos-aires/gallery-3.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-buenos-aires-gallery-4","media/places/buenos-aires/gallery-4.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-ushuaia-hero","media/places/ushuaia/hero.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-ushuaia-gallery-1","media/places/ushuaia/gallery-1.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-ushuaia-gallery-2","media/places/ushuaia/gallery-2.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-ushuaia-gallery-3","media/places/ushuaia/gallery-3.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-ushuaia-gallery-1","media/argentina-travel/ushuaia/1637246470093-ushuaia___bahia___monta_a_nieve__andrescamacho__19_.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
